Nome,Objetivo,Precondição,Status,Priority,Script de Teste (BDD),Automatizado,Validação em Banco de Dados
"P - Autenticação - Login com Sucesso (Usuário e Senha Válidos)","Garantir que um usuário com credenciais válidas consiga se autenticar e acessar o sistema","Existir um usuário ativo cadastrado no sistema com login e senha válidos","Approved","Alta","Given que o usuário esteja na tela de login do sistema;When informar um usuário válido no campo de usuário;And informar uma senha válida correspondente no campo de senha;And clicar no botão ""Entrar"";Then o sistema autentica o usuário com sucesso;And redireciona para a tela inicial (dashboard) do sistema","A ser automatizado","Validar se a data/hora do último acesso do usuário foi atualizada na tabela de usuários"
"P - Autenticação - Login com Lembrar-me","Garantir que a opção ""Lembrar-me"" mantenha o usuário logado ou preencha automaticamente os campos","Existir um usuário ativo cadastrado no sistema","Approved","Média","Given que o usuário esteja na tela de login;When informar usuário e senha válidos;And marcar a opção ""Lembrar-me"";And clicar em ""Entrar"";Then o sistema autentica o usuário;And ao fechar e reabrir o navegador, o usuário permanece logado ou os campos são preenchidos automaticamente","A ser automatizado","Não se aplica"
"P - Autenticação - Login com Perfil de Administrador","Garantir que um usuário com perfil de administrador visualize os menus corretos após o login","Existir um usuário ativo com perfil de administrador cadastrado","Approved","Alta","Given que um usuário com perfil de administrador esteja na tela de login;When informar suas credenciais válidas;And clicar em ""Entrar"";Then o sistema autentica o usuário;And redireciona para o dashboard;And exibe os menus e funcionalidades exclusivas de administrador","A ser automatizado","Não se aplica"
"P - Autenticação - Login com Perfil de Usuário Comum","Garantir que um usuário com perfil comum visualize apenas os menus permitidos após o login","Existir um usuário ativo com perfil comum cadastrado","Approved","Alta","Given que um usuário com perfil comum esteja na tela de login;When informar suas credenciais válidas;And clicar em ""Entrar"";Then o sistema autentica o usuário;And redireciona para o dashboard;And exibe apenas os menus e funcionalidades permitidas para seu perfil","A ser automatizado","Não se aplica"
"P - Autenticação - Redefinição de Senha com Sucesso","Garantir que o usuário consiga redefinir a senha através do fluxo de ""Esqueci minha senha""","Existir um usuário ativo cadastrado com e-mail válido","Approved","Alta","Given que o usuário esteja na tela de login;When clicar em ""Esqueci minha senha"";And informar o e-mail cadastrado;And clicar em ""Enviar"";Then o sistema exibe mensagem de confirmação de envio;And o usuário recebe um e-mail com link para redefinição;And ao clicar no link, o sistema permite cadastrar uma nova senha","A ser automatizado","Validar se o token de redefinição foi gerado e armazenado corretamente no banco"
"P - Autenticação - Login Após Redefinição de Senha","Garantir que o usuário consiga acessar o sistema com a nova senha definida","Usuário ter concluído o fluxo de redefinição de senha com sucesso","Approved","Alta","Given que o usuário tenha redefinido sua senha com sucesso;When acessar a tela de login;And informar o usuário e a nova senha;And clicar em ""Entrar"";Then o sistema autentica o usuário com sucesso;And redireciona para o dashboard","A ser automatizado","Validar se a senha antiga não é mais válida e a nova foi atualizada no banco"
"P - Autenticação - Login com CPF Válido","Garantir que o usuário consiga fazer login utilizando CPF como identificador","Existir um usuário ativo cadastrado com CPF válido","Approved","Média","Given que o usuário esteja na tela de login;When informar o CPF válido no campo de usuário;And informar a senha correspondente;And clicar em ""Entrar"";Then o sistema autentica o usuário com sucesso;And redireciona para o dashboard","A ser automatizado","Não se aplica"
"P - Autenticação - Login com E-mail Válido","Garantir que o usuário consiga fazer login utilizando e-mail como identificador","Existir um usuário ativo cadastrado com e-mail válido","Approved","Média","Given que o usuário esteja na tela de login;When informar o e-mail válido no campo de usuário;And informar a senha correspondente;And clicar em ""Entrar"";Then o sistema autentica o usuário com sucesso;And redireciona para o dashboard","A ser automatizado","Não se aplica"
"N - Autenticação - Login com Usuário Inválido","Garantir que o sistema não permita login com usuário não cadastrado","N/A","Approved","Média","Given que o usuário esteja na tela de login;When informar um usuário que não existe no sistema;And informar qualquer senha;And clicar em ""Entrar"";Then o sistema exibe mensagem de erro ""Usuário ou senha inválidos"";And permanece na tela de login","A ser automatizado","Não se aplica"
"N - Autenticação - Login com Senha Inválida","Garantir que o sistema não permita login com senha incorreta para um usuário válido","Existir um usuário ativo cadastrado","Approved","Média","Given que o usuário esteja na tela de login;When informar um usuário válido;And informar uma senha incorreta;And clicar em ""Entrar"";Then o sistema exibe mensagem de erro ""Usuário ou senha inválidos"";And permanece na tela de login","A ser automatizado","Não se aplica"
"N - Autenticação - Login com Usuário e Senha Inválidos","Garantir que o sistema não permita login quando ambos os campos estão incorretos","N/A","Approved","Baixa","Given que o usuário esteja na tela de login;When informar um usuário inexistente;And informar uma senha qualquer;And clicar em ""Entrar"";Then o sistema exibe mensagem de erro ""Usuário ou senha inválidos"";And permanece na tela de login","A ser automatizado","Não se aplica"
"N - Autenticação - Login com Senha em Branco","Garantir que o sistema não permita login sem preencher o campo de senha","Existir um usuário ativo cadastrado","Approved","Média","Given que o usuário esteja na tela de login;When informar um usuário válido;And deixar o campo de senha em branco;And clicar em ""Entrar"";Then o sistema exibe mensagem de validação ""O campo senha é obrigatório"";Or o botão de login permanece desabilitado","A ser automatizado","Não se aplica"
"N - Autenticação - Login com Usuário em Branco","Garantir que o sistema não permita login sem preencher o campo de usuário","N/A","Approved","Média","Given que o usuário esteja na tela de login;When deixar o campo de usuário em branco;And informar uma senha qualquer;And clicar em ""Entrar"";Then o sistema exibe mensagem de validação ""O campo usuário é obrigatório"";Or o botão de login permanece desabilitado","A ser automatizado","Não se aplica"
"N - Autenticação - Login com Ambos os Campos em Branco","Garantir que o sistema não permita login sem preencher usuário e senha","N/A","Approved","Média","Given que o usuário esteja na tela de login;When deixar os campos de usuário e senha em branco;And clicar em ""Entrar"";Then o sistema exibe mensagem de validação ""Os campos usuário e senha são obrigatórios"";Or o botão de login permanece desabilitado","A ser automatizado","Não se aplica"
"N - Autenticação - Login com Tentativa de SQL Injection","Garantir que o sistema não seja vulnerável a ataques de SQL Injection nos campos de login","N/A","Approved","Alta","Given que o usuário esteja na tela de login;When informar no campo de usuário um valor malicioso como ""' OR '1'='1"";And informar qualquer senha;And clicar em ""Entrar"";Then o sistema não autentica o usuário;And exibe mensagem de erro ""Usuário ou senha inválidos"";And não permite acesso ao sistema","A ser automatizado","Não se aplica"
"N - Autenticação - Login com Usuário Bloqueado","Garantir que usuário com conta bloqueada não consiga acessar o sistema","Existir um usuário com status bloqueado no sistema","Approved","Alta","Given que exista um usuário com acesso bloqueado no sistema;When este usuário acessar a tela de login;And informar suas credenciais;And clicar em ""Entrar"";Then o sistema exibe mensagem ""Usuário bloqueado. Entre em contato com o administrador."";And não permite o acesso","A ser automatizado","Validar se o status do usuário permanece como bloqueado no banco"
"N - Autenticação - Login com Usuário Inativo","Garantir que usuário com conta inativa não consiga acessar o sistema","Existir um usuário com status inativo/desativado no sistema","Approved","Alta","Given que exista um usuário com status inativo no sistema;When este usuário acessar a tela de login;And informar suas credenciais;And clicar em ""Entrar"";Then o sistema exibe mensagem ""Usuário inativo. Entre em contato com o administrador."";And não permite o acesso","A ser automatizado","Validar se o status do usuário permanece como inativo no banco"
"N - Autenticação - Login com Usuário Expirado","Garantir que usuário com conta expirada não consiga acessar o sistema","Existir um usuário com data de validade da conta vencida","Approved","Média","Given que exista um usuário cuja conta esteja expirada (data de validade vencida);When este usuário acessar a tela de login;And informar suas credenciais;And clicar em ""Entrar"";Then o sistema exibe mensagem ""Sua conta expirou. Entre em contato com o administrador."";And não permite o acesso","A ser automatizado","Não se aplica"
"N - Autenticação - Login com Senha Expirada","Garantir que usuário com senha vencida seja redirecionado para troca de senha","Existir um usuário cuja senha esteja com prazo de validade vencido","Approved","Alta","Given que exista um usuário com senha expirada;When este usuário acessar a tela de login;And informar suas credenciais;And clicar em ""Entrar"";Then o sistema redireciona para a tela de troca de senha obrigatória;And exibe mensagem ""Sua senha expirou. Defina uma nova senha."";And só permite acesso após a troca","A ser automatizado","Validar se a data de expiração da senha foi atualizada no banco"
"N - Autenticação - Bloqueio por Tentativas Excedidas","Garantir que a conta seja bloqueada após X tentativas consecutivas com senha errada","Existir um usuário ativo cadastrado","Approved","Alta","Given que exista um usuário ativo cadastrado;When este usuário tentar fazer login com senha incorreta por X vezes consecutivas;Then na X+1 tentativa, mesmo com senha correta, o sistema bloqueia a conta temporariamente;And exibe mensagem ""Conta temporariamente bloqueada por segurança. Tente novamente mais tarde.""","A ser automatizado","Validar se o status do usuário foi alterado para bloqueado temporário e se o contador de tentativas foi registrado"
"N - Autenticação - Login Fora do Horário Permitido","Garantir que usuário com restrição de horário não consiga acessar fora do período autorizado","Existir um usuário com permissão de acesso apenas em horário comercial","Approved","Média","Given que exista um usuário com acesso permitido apenas em horário comercial;When este usuário tentar fazer login fora do horário permitido (ex: 22h);And informar credenciais válidas;And clicar em ""Entrar"";Then o sistema exibe mensagem ""Acesso permitido apenas em horário comercial."";And não permite o login","A ser automatizado","Não se aplica"
"N - Autenticação - Login a Partir de IP Não Autorizado","Garantir que usuário com restrição de IP não consiga acessar de endereços não autorizados","Existir um usuário com restrição de acesso por faixa de IP","Approved","Alta","Given que exista um usuário com acesso permitido apenas de IPs específicos;When este usuário tentar fazer login a partir de um IP não autorizado;And informar credenciais válidas;And clicar em ""Entrar"";Then o sistema exibe mensagem ""Acesso não autorizado deste endereço IP."";And não permite o login","A ser automatizado","Não se aplica"
"N - Autenticação - Login em Dispositivo Não Confiável","Garantir que login de dispositivo não reconhecido exija verificação adicional","Existir um usuário ativo cadastrado e um dispositivo nunca utilizado por ele","Approved","Média","Given que um usuário tente fazer login de um dispositivo novo/não reconhecido;When informar credenciais válidas;And clicar em ""Entrar"";Then o sistema exige autenticação em dois fatores;Or envia um código de verificação por e-mail/SMS;And só libera acesso após confirmação","A ser automatizado","Validar se o dispositivo foi registrado na tabela de dispositivos confiáveis"
"N - Autenticação - Acesso Simultâneo (Permitido)","Garantir que o sistema permita o mesmo usuário logado em múltiplos dispositivos se a regra permitir","Existir um usuário ativo cadastrado","Approved","Média","Given que um usuário esteja logado em um dispositivo;When o mesmo usuário tentar fazer login em outro dispositivo;And informar credenciais válidas;Then o sistema permite o segundo acesso;And ambos os dispositivos permanecem ativos simultaneamente","A ser automatizado","Não se aplica"
"N - Autenticação - Acesso Simultâneo (Bloqueado)","Garantir que o sistema bloqueie ou encerre sessões anteriores quando o mesmo usuário logar em outro local","Existir um usuário ativo cadastrado e regra de negócio que não permita acesso simultâneo","Approved","Alta","Given que um usuário esteja logado em um dispositivo;When o mesmo usuário tentar fazer login em outro dispositivo;And informar credenciais válidas;Then o sistema permite o novo acesso;And encerra automaticamente a sessão anterior;Or exibe mensagem ""Já existe uma sessão ativa. Deseja encerrá-la?""","A ser automatizado","Não se aplica"
"N - Autenticação - Campo de Senha com Mascaramento","Garantir que o campo de senha exiba os caracteres mascarados por segurança","N/A","Approved","Baixa","Given que o usuário esteja na tela de login;When digitar caracteres no campo de senha;Then os caracteres são exibidos como símbolos (ex: •••••);And não são exibidos em texto claro","A ser automatizado","Não se aplica"
"N - Autenticação - Botão de Login Desabilitado","Garantir que o botão de login só seja habilitado quando todos os campos obrigatórios estiverem preenchidos","N/A","Approved","Média","Given que o usuário esteja na tela de login;When nenhum campo ou apenas um campo estiver preenchido;Then o botão de login permanece desabilitado;When ambos os campos estiverem preenchidos;Then o botão de login fica habilitado","A ser automatizado","Não se aplica"
"N - Autenticação - Mensagem de Erro Genérica","Garantir que a mensagem de erro não revele se foi o usuário ou a senha que está incorreto","N/A","Approved","Alta","Given que o usuário esteja na tela de login;When informar um usuário inválido com senha qualquer;Or informar um usuário válido com senha incorreta;Then o sistema exibe a mesma mensagem genérica ""Usuário ou senha inválidos"";And não especifica qual campo está errado","A ser automatizado","Não se aplica"
"N - Autenticação - Exibição de CAPTCHA Após Tentativas","Garantir que o CAPTCHA seja exibido após múltiplas tentativas de login falhas","N/A","Approved","Alta","Given que um usuário tenha falhado o login por X vezes consecutivas;When tentar novamente fazer login;Then o sistema exibe um CAPTCHA para validação;And só prossegue com o CAPTCHA preenchido corretamente","A ser automatizado","Não se aplica"
"N - Autenticação - Redirecionamento Após Logout","Garantir que após fazer logout, o usuário não consiga acessar páginas internas diretamente","Usuário ter feito logout do sistema","Approved","Alta","Given que um usuário tenha feito logout do sistema;When tentar acessar diretamente uma URL interna (ex: /dashboard) sem estar logado;Then o sistema redireciona para a tela de login;And não permite o acesso à página solicitada","A ser automatizado","Não se aplica"
"N - Autenticação - Sessão Expirada","Garantir que após um período de inatividade, a sessão expire e redirecione para login","Usuário estar logado no sistema","Approved","Alta","Given que um usuário esteja logado no sistema;When ficar inativo por X minutos (tempo configurado para expiração de sessão);And tentar realizar qualquer ação no sistema;Then o sistema redireciona para a tela de login;And exibe mensagem ""Sua sessão expirou. Faça login novamente.""","A ser automatizado","Não se aplica"
"N - Autenticação - Esqueci Senha com E-mail Não Cadastrado","Garantir que o sistema não informe se o e-mail existe ou não por segurança","N/A","Approved","Média","Given que o usuário esteja na tela de ""Esqueci minha senha"";When informar um e-mail que não está cadastrado no sistema;And clicar em ""Enviar"";Then o sistema exibe mensagem genérica ""Se o e-mail estiver cadastrado, você receberá instruções para redefinir sua senha"";And não envia e-mail algum","A ser automatizado","Validar que nenhum token foi gerado no banco"
"N - Autenticação - Link de Redefinição Expirado","Garantir que links de redefinição de senha expirem após o prazo estipulado","Usuário ter solicitado redefinição de senha há mais de X horas","Approved","Alta","Given que um usuário tenha solicitado redefinição de senha há mais de 24h (prazo configurado);When clicar no link de redefinição recebido por e-mail;Then o sistema exibe mensagem ""Link expirado. Solicite uma nova redefinição de senha."";And não permite cadastrar nova senha","A ser automatizado","Validar se o token de redefinição foi invalidado/marcado como expirado no banco"
"N - Autenticação - Token de Redefinição Inválido","Garantir que tokens inválidos ou já utilizados não permitam redefinição de senha","N/A","Approved","Alta","Given que um usuário tente acessar a página de redefinição com um token inválido ou já utilizado;When acessar a URL com o token inválido;Then o sistema exibe mensagem ""Token inválido ou já utilizado. Solicite uma nova redefinição."";And não permite cadastrar nova senha","A ser automatizado","Validar se o token não existe ou foi marcado como utilizado no banco"
"P - Autenticação - Primeiro Acesso com Senha Provisória","Garantir que usuário com senha provisória seja obrigado a trocar a senha no primeiro login","Existir um usuário recém-criado com senha provisória","Approved","Alta","Given que um usuário possua senha provisória fornecida pelo sistema;When fazer login pela primeira vez com esta senha;Then o sistema autentica, mas redireciona imediatamente para a tela de troca de senha obrigatória;And exibe mensagem ""Este é seu primeiro acesso. Defina uma nova senha."";And só permite acessar o sistema após a troca","A ser automatizado","Validar se a senha foi atualizada e o flag de primeiro acesso foi alterado"